Groupe,Nom scientifique,Nom courant
Poissons-chats et malachigans,Ictalurus furcatus,Poisson-chat bleu
Poissons-chats et malachigans,Ictalurus punctatus,Barbue de rivière
Poissons-chats et malachigans,Ictalurus punctatus x furcatus,Poisson-chat tacheté x poisson-chat bleu hybride
Poissons-chats et malachigans,Lepomis auritus,Crapet rouge
Poissons-chats et malachigans,Lepomis incisor,Crapet-soleil
Poissons-chats et malachigans,Lepomis macrochirus,Crapet arlequin
Poissons-chats et malachigans,Lepomis megalotis,Crapet à longues oreilles
Poissons-chats et malachigans,Micropterus dolomieu,Achigan à petite bouche
Poissons-chats et malachigans,Micropterus salmoides,Achigan à grande bouche
Poissons-chats et malachigans,Pomoxis annularis,Marigane blanche
Anguilles,Anguilla anguilla,Anguille européenne
Anguilles,Lampetra tridentata,Lamproie du Pacifique
Anguilles,Lota lota,Lotte
Anguilles,Petromyzon marinus,Lamproie marine
Harengs,Alosa aestivalis,Hareng à dos bleu
Harengs,Alosa fallax,Alose finte
Harengs,Alosa pseudoharengus,Gaspareau
Harengs,Alosa sapidissima,Alose savoureuse
Brochets,Esox lucius,Grand brochet
Brochets,Esox sp.,Maskinongé
Saumons et dorés jaunes,Abramis brama,Brème
Saumons et dorés jaunes,Barbus barbus,Barbillon
Saumons et dorés jaunes,Campostoma anomalum,Roule-caillou
Saumons et dorés jaunes,Carassius carassius,Carassin
Saumons et dorés jaunes,Catostomus catostomus,Meunier rouge
Saumons et dorés jaunes,Catostomus commersoni,Meunier noir
Saumons et dorés jaunes,Catostomus laipinnis,Meunier à grosses nageoires
Saumons et dorés jaunes,Catostomus macrocheilus,Meunier à grandes écailles
Saumons et dorés jaunes,Catostomus platyrhynchus,Meunier des montagnes
Saumons et dorés jaunes,Chasmistes liorus,Catostome noir nain
Saumons et dorés jaunes,Coregonus artedii,Cisco
Saumons et dorés jaunes,Coregonus autumnalis,Cisco arctique
Saumons et dorés jaunes,Coregonus clupeaformis,Grand corégone
Saumons et dorés jaunes,Coregonus nasus,Corégone tschir
Saumons et dorés jaunes,Coregonus sardinella,Cisco sardinelle
Saumons et dorés jaunes,Cyprinella lutrensis,Méné rouge
Saumons et dorés jaunes,Cyprinella proserpina,Méné de Proserpine
Saumons et dorés jaunes,Cyprinella venusta,Méné à queue noire
Saumons et dorés jaunes,Cyprinus carpio,Carpe
Saumons et dorés jaunes,Etheostoma grahami,Dard Rio Grande
Saumons et dorés jaunes,Gila cypha,Méné à bosses
Saumons et dorés jaunes,Gila elegans,Squalius moreoticus
Saumons et dorés jaunes,Gobio gobio,Goujon
Saumons et dorés jaunes,Hybognathus amarus,Méné d’argent
Saumons et dorés jaunes,Hybognathus placitus,Méné des plaines
Saumons et dorés jaunes,Iotichthys phlegethontis,Méné des rapides
Saumons et dorés jaunes,Lepidomeda aliciae,Southern leatherside chub
Saumons et dorés jaunes,Leuciscus cephalus,Chevaine
Saumons et dorés jaunes,Leuciscus leuciscus,Vandoise
Saumons et dorés jaunes,Luxilus chrysocephalus,Méné rayé
Saumons et dorés jaunes,Lythrurus fumeus,Méné ruban
Saumons et dorés jaunes,Lythrurus umbratilis,Méné d’ombre
Saumons et dorés jaunes,Macrhybopsis aestivalis,Méné moucheté
Saumons et dorés jaunes,Morone americana,Baret
Saumons et dorés jaunes,Morone saxatilis,Bar rayé
Saumons et dorés jaunes,Notropis amabilis,Méné du Texas
Saumons et dorés jaunes,Notropis atherinoides,Méné émeraude
Saumons et dorés jaunes,Notropis atrocaudalis,Méné à tache noire
Saumons et dorés jaunes,Notropis bairdi,Red River shiner
Saumons et dorés jaunes,Notropis buccula,Méné à petits yeux
Saumons et dorés jaunes,Notropis buchanani,Méné fantôme
Saumons et dorés jaunes,Notropis hudsonius,Queue à tache noire
Saumons et dorés jaunes,Notropis oxyrhynchus,Méné à nez pointu
Saumons et dorés jaunes,Notropis sabinae,Méné Sabine
Saumons et dorés jaunes,Notropis shumardi,Méné miroir
Saumons et dorés jaunes,Notropis stramineus,Méné paille
Saumons et dorés jaunes,Notropis texanus,Méné d’herbe
Saumons et dorés jaunes,Notropis topeka,Méné Topeka
Saumons et dorés jaunes,Notropis volucellus,Méné pâle
Saumons et dorés jaunes,Oncorhynchus clarki,Truite fardée
Saumons et dorés jaunes,Oncorhynchus gorbuscha,Saumon rose
Saumons et dorés jaunes,Oncorhynchus keta,Saumon kéta
Saumons et dorés jaunes,Oncorhynchus kisutch,Saumon coho
Saumons et dorés jaunes,Oncorhynchus mykiss,Truite arc-en-ciel et saumon arc-en-ciel
Saumons et dorés jaunes,Oncorhynchus nerka,Saumon rouge
Saumons et dorés jaunes,Oncorhynchus tshawytscha,Saumon quinnat
Saumons et dorés jaunes,Perca flavescens,Perchaude
Saumons et dorés jaunes,Perca fluviatilis,Perche commune
Saumons et dorés jaunes,Pimephales promelas,Tête-de-boule
Saumons et dorés jaunes,Pimephales vigilax,Pimephales vigilax
Saumons et dorés jaunes,Platygobio gracilus,Méné à tête plate
Saumons et dorés jaunes,Pogonichthys macrolepidotus,Sacramento splittail
Saumons et dorés jaunes,Prosopium williamsoni,Ménomini des montagnes
