"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Country","Locality","Reference"
"6","Cyprinus carpio","Common carp","Unsexed",37,NA,"India","(hills)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142>Reference</a>"
"7","Cyprinus carpio","Common carp","Unsexed",15,NA,"India","(plains)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142>Reference</a>"
"9","Cyprinus carpio","Common carp","Unsexed",40,NA,NA,"Europe","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142>Reference</a>"
"10","Cyprinus carpio","Common carp","Unsexed",30,NA,"Indonesia","Indonesia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142>Reference</a>"
"12","Cyprinus carpio","Common carp","Unsexed",30,NA,"Japan","Japan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142>Reference</a>"
"20","Cyprinus carpio","Common carp","Female",25,NA,NA,"not stated","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6390>Reference</a>"
"21","Cyprinus carpio","Common carp","Male",20,NA,NA,"not stated","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6390>Reference</a>"
"23","Cyprinus carpio","Common carp","Mixed",NA,25.1,"France","Camargue","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52210>Reference</a>"
"24","Cyprinus carpio","Common carp","Mixed",NA,19.4,"Spain","Guadalquivir River, Southwest region","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52211>Reference</a>"
"27","Cyprinus carpio","Common carp","Female",NA,32.8,NA,"Barmah Forest","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89158>Reference</a>"
"28","Cyprinus carpio","Common carp","Female",NA,27.3,NA,"Campaspe Channels","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89159>Reference</a>"
"29","Cyprinus carpio","Common carp","Female",NA,34.7,"Slovakia","Danube","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89157>Reference</a>"
"30","Cyprinus carpio","Common carp","Female",NA,40.3,"South Africa","Hartbeespoort Dam","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89160>Reference</a>"
"31","Cyprinus carpio","Common carp","Female",27.6,33.5,"South Africa","Lake Gariep, (30°38'S; 25°46'E), Orange River, 2006-2008","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=88006>Reference</a>"
"32","Cyprinus carpio","Common carp","Female",NA,42,"Kenya","Lake Naivasha","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89162>Reference</a>"
"33","Cyprinus carpio","Common carp","Male",NA,30.7,NA,"Barmah Forest","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89158>Reference</a>"
"34","Cyprinus carpio","Common carp","Male",NA,28.7,NA,"Campaspe","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89159>Reference</a>"
"35","Cyprinus carpio","Common carp","Male",NA,31.6,"Slovakia","Danube","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89157>Reference</a>"
"37","Cyprinus carpio","Common carp","Male",25.8,29.6,"South Africa","Lake Gariep, (30°38'S; 25°46'E), Orange River, 2006-2008","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=88006>Reference</a>"
"38","Cyprinus carpio","Common carp","Male",NA,34,"Kenya","Lake Naivasha","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89162>Reference</a>"
"40","Cyprinus carpio","Common carp","Female",NA,33.76,"Turkey","Bayramiç Reservoir","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=96089>Reference</a>"
"41","Cyprinus carpio","Common carp","Male",NA,28.33,"Turkey","Bayramiç Reservoir","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=96089>Reference</a>"
"44","Cyprinus carpio","Common carp","Female",32,NA,"Mongolia","not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072>Reference</a>"
"45","Cyprinus carpio","Common carp","Male",26,NA,"Mongolia","not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072>Reference</a>"
"53","Gymnocephalus cernua","Ruffe","Female",NA,10.5,NA,"not stated","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=88808>Reference</a>"
