	English.Common.Name	French.Common.Name	Scientific.Name	Group.s.	Screen.Area.Coefficient	Approach.Velocity
1	All/Unknown	Tout	All/Unknown	Eel	0.02871	0.035
2	Largemouth Bass	Achigan à grande bouche	Micropterus salmoides	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
3	Smallmouth Bass	Achigan à petite bouche	Micropterus dolomieu	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
4	Gizzard Dhad	Alose à gésier	Dorosoma cepedianum	Herring; Sturgeon	0.01217	0.082
5	Blueback Herring	Alose d'été	Alosa aestivalis	Herring; Sturgeon	0.01217	0.082
6	Twaite Shad	Alose feinte	Alosa fallax	Herring; Sturgeon	0.01217	0.082
7	American Shad	Alose savoureuse	Alosa sapidissima	Herring; Sturgeon	0.01217	0.082
8	European Eel	Anguille	Anguilla anguilla	Eel	0.02871	0.035
9	American Eel	Anguille d'Amérique	Anguilla rostrata	Eel	0.02871	0.035
10	White Bass	Bar blanc	Morone chrysops	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
11	White Perch	Bar blanc d'Amerique	Morone americana	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
12	Striped Bass	Bar d'Amérique	Morone saxatilis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
13	Common Barbel	Barbeau fluviatile	Barbus barbus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
14	Brown Bullhead	Barbotte brune	Ameiurus nebulosus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
15	Stonecat	Barbotte des rapides	Noturus flavus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
16	Yellow Bullhead	Barbotte jaune	Ameiurus natalis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
17	Channel Catfish	Barbue de rivière	Ictalurus punctatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
18	Cutlip Minnow	Bec-de-lièvre	Exoglossum maxillingua	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
19	Common Bream	Brème	Abramis brama	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
20	Northern Pike	Brochet	Esox lucius	Pike	0.0186	0.055
21	Redfin Pickerel	Brochet d'Amérique	Esox americanus americanus	Pike	0.0186	0.055
22	Chain Pickerel	Brochet maillé	Esox niger	Pike	0.0186	0.055
23	Crucian Carp	Carassin	Carassius carassius	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
24	Carp	Carpe	Cyprinus carpio	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
25	June Sucker	Catostome noir nain	Chasmistes liorus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
26	Shorthead Sculpin	Chabot à tête courte	Cottus confusus	Eel	0.02871	0.035
27	Spoonhead Sculpin	Chabot à tête plate	Cottus ricei	Eel	0.02871	0.035
28	Coastrange Sculpin	Chabot côtier	Cottus aleuticus	Eel	0.02871	0.035
29	Deepwater Sculpin	Chabot de profondeur	Myoxocephalus thompsonii	Eel	0.02871	0.035
30	Torrent Sculpin	Chabot de torrent	Cottus rhotheus	Eel	0.02871	0.035
31	Prickly Sculpin	Chabot piquant	Cottus asper	Eel	0.02871	0.035
32	Mottled Sculpin	Chabot tacheté	Cottus bairdii	Eel	0.02871	0.035
33	Slimy Sculpin	Chabot visqueux	Cottus cognatus	Eel	0.02871	0.035
34	Tadpole Madtom	Chat-fou brun	Noturus gyrinus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
35	European Chub	Chevaine	Squalius cephalus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
36	Silver Redhorse	Chevalier blanc	Moxostoma anisurum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
37	River Redhorse	Chevalier de rivière	Moxostoma carinatum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
38	Greater Redhorse	Chevalier jaune	Moxostoma valenciennesi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
39	Shorthead Redhorse	Chevalier rouge	Moxostoma macrolepidotum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
40	Mummichog	Choquemort	Fundulus heteroclitus	Eel	0.02871	0.035
41	Atlantic Whitefish	Cisco	Coregonus huntsmani	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
42	Longjaw Cisco	Cisco à grande bouche	Coregonus alpenae	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
43	Shortjaw Cisco	Cisco à mâchoires égales	Coregonus zenithicus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
44	Shortnose Cisco	Cisco à museau court	Coregonus reighardi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
45	Arctic Cisco	Cisco arctique	Coregonus autumnalis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
46	Bering Cisco	Cisco de Béring	Coregonus laurettae	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
47	Cisco	Cisco de lac	Coregonus artedi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
48	Least Cisco	Cisco sardinelle	Coregonus sardinella	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
49	Broad Whitefish	Corégone tschir	Coregonus nasus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
50	Quillback	Couette	Carpiodes cyprinus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
51	Longear Sunfish	Crapet à longues oreilles	Lepomis megalotis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
52	Bluegill	Crapet arlequin	Lepomis macrochirus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
53	White Crappie	Crapet calicot	Pomoxis annularis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
54	Rock Bass	Crapet de roche	Ambloplites rupestris	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
55	Redbreast Sunfish	Crapet rouge	Lepomis auritus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
56	Pumpkinseed	Crapet-soleil	Lepomis gibbosus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
57	Brook Silverside	Crayon d'argent	Labidesthes sicculus	Eel	0.02871	0.035
58	Alaska Blackfish	Dallia	Dallia pectoralis	Herring; Sturgeon	0.01217	0.082
59	Iowa Darter	Dard à ventre jaune	Etheostoma exile	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
60	Rainbow Darter	Dard arc-en-ciel	Etheostoma caeruleum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
61	Fantail Darter	Dard barré	Etheostoma flabellare	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
62	Eastern Sand Darter	Dard de sable	Ammocrypta pellucida	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
63	Rio Grande Darter	Dard Rio Grande	Etheostoma grahami	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
64	Logperch	Dard-perche	Percina caprodes	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
65	Dolly Varden	Dolly varden	Salvelinus malma	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
66	Walleye	Doré jaune	Sander vitreus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
67	Sauger	Doré noir	Sander canadensis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
68	Pond Smelt	Éperlan à petite bouche	Hypomesus olidus	Herring; Sturgeon	0.01217	0.082
69	Rainbow Smelt	Éperlan arc-en-ciel	Osmerus mordax	Herring; Sturgeon	0.01217	0.082
70	Longfin Smelt	Éperlan d'hiver	Spirinchus thaleichthys	Herring; Sturgeon	0.01217	0.082
71	Brook Stickleback	Épinoche à cinq épines	Culaea inconstans	Eel	0.02871	0.035
72	Ninespine Stickleback	Épinoche à neuf épines	Pungitius pungitius	Eel	0.02871	0.035
73	Fourspine Stickleback	Épinoche à quatre épines	Apeltes quadracus	Eel	0.02871	0.035
74	Threespine Stickleback	Épinoche à trois épines	Gasterosteus aculeatus	Eel	0.02871	0.035
75	Blackspotted Stickleback	Épinoche tachetée	Gasterosteus wheatlandi	Eel	0.02871	0.035
76	Shortnose Sturgeon	Esturgeon à museau court	Acipenser brevirostrum	Herring; Sturgeon	0.01217	0.082
