ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference
Anguilla anguilla,European Eel,Anguille,Unsexed,NA,600,NA,United Kingdom,Windermere,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Anguilla anguilla,European Eel,Anguille,Female,450,NA,NA,Netherlands,Western Scheldt,<a href=http://fishbase.ca/references/FBRefSummary.php?id=108918 target='_blank' >Cattrijsse et al. 2000</a>
Anguilla anguilla,European Eel,Anguille,Male,300,NA,TL,Netherlands,Western Scheldt,<a href=http://fishbase.ca/references/FBRefSummary.php?id=108918 target='_blank' >Cattrijsse et al. 2000</a>
Coregonus clupeaformis,Lake Whitefish,Grand corégone,Unsexed,NA,270,NA,Canada,Lake Nipigon,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Coregonus clupeaformis,Lake Whitefish,Grand corégone,Unsexed,NA,270,NA,Canada,Shakespeare Is. Lake,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Coregonus clupeaformis,Lake Whitefish,Grand corégone,Unsexed,NA,230,NA,United States,"Trout Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Coregonus artedi,Cisco,Cisco de lac,Unsexed,NA,150,SL,United States,"Muskellunge Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Coregonus artedi,Cisco,Cisco de lac,Unsexed,NA,140,SL,United States,"Silver Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Coregonus artedi,Cisco,Cisco de lac,Unsexed,NA,125,SL,United States,"Trout Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Coregonus artedi,Cisco,Cisco de lac,Mixed,NA,270,TL,Canada,Eastern James-Hudson Bay,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52223 target='_blank' >Morin et al. 1982</a>
Salmo salar,Atlantic Salmon,Saumon Atlantique,Male,75,85,FL,Spain,"Esva River (43<b0>33'n, 6<b0>32'e), 1992-1994",<a href=http://fishbase.ca/references/FBRefSummary.php?id=36293 target='_blank' >Utrilla et al. 1999</a>
Salmo salar,Atlantic Salmon,Saumon Atlantique,Female,NA,738,FL,Canada,"Bouleau River, Quebec, 1973",<a href=http://fishbase.ca/references/FBRefSummary.php?id=58801 target='_blank' >Randall et al. 1979</a>
Salmo salar,Atlantic Salmon,Saumon Atlantique,Female,NA,724,FL,Canada,"Pigou River, Quebec, 1973",<a href=http://fishbase.ca/references/FBRefSummary.php?id=58801 target='_blank' >Randall et al. 1979</a>
Salmo salar,Atlantic Salmon,Saumon Atlantique,Male,NA,506,FL,Canada,"Bouleau River, Quebec, 1973",<a href=http://fishbase.ca/references/FBRefSummary.php?id=58801 target='_blank' >Randall et al. 1979</a>
Salmo salar,Atlantic Salmon,Saumon Atlantique,Male,NA,531,FL,Canada,"Pigou River, Quebec, 1973",<a href=http://fishbase.ca/references/FBRefSummary.php?id=58801 target='_blank' >Randall et al. 1979</a>
Salmo salar,Atlantic Salmon,Saumon Atlantique,Unsexed,600,NA,TL,NA,Baltic Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89463 target='_blank' >ICES 2009</a>
Salmo trutta,Brown Trout,Truite commune,Unsexed,NA,240,NA,United Kingdom,"Lake Windermere, England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Salmo trutta,Brown Trout,Truite commune,Mixed,NA,369,FL,France,"River Calonne, Normandy, 1985",<a href=http://fishbase.ca/references/FBRefSummary.php?id=40189 target='_blank' >Maisse et al. 1991</a>
Salmo trutta,Brown Trout,Truite commune,Male,120,NA,FL,England and Wales (UK),"Afon Cwm River, Llanbrynmair, Mid-Wales, 1984-1993",<a href=http://fishbase.ca/references/FBRefSummary.php?id=44580 target='_blank' >Crisp et al. 1995</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,147,FL,Norway,"Bellbekken Stream (above Waterfalls), 1997<96>1999 (Sep. - Oct.)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,169,FL,Norway,"Bj<f8>r<e5>a Stream (above Waterfalls), 1997-1999 (Sep. - Oct.)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,168,FL,Norway,"Bj<f8>r<e5>a Stream (Below Waterfalls), 1997-1999 (Sep. - Oct)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,174,FL,Norway,"Gjesa Stream (Below Waterfalls), 1997-1999 (Sep.- Oct.)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,169,FL,Norway,"Lv<e5>a Stream (above Waterfalls), 1997-1999 (Sep.-Oct.)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,164,FL,Norway,"Osa Stream (above Waterfalls), 1997-1999 (Sep.-Oct)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,188,FL,Norway,"Osa Stream (Below Waterfalls), 1997-1999 (Sep.-Oct)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,142,FL,Norway,"Bellbekken Stream (above  Waterfalls), 1997<96>1999 (Sep. - Oct.)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
