Name,St. Length (mm),Body Depth,Body Width,N
Ichthyomyzon unicuspis,,8.2,,
Ichthyomyzon fossor,,7.4,,
Ichthyomyzon bdellium,,7.3,,
Ichthyomyzon greeleyi,,7.6,,
Lampetra appendix,,6.2,,
Petromyzon marinus,,7.8,,
Acipenser brevirostrum,605,16.9,4.5,6
Acipenser fulvescens,333,11.4,3.9,1
Acipenser oxyrhynchus,1252,13.2,4.1,10
Lepisosteus osseus,130.4,7.2,5.9,3
Lepisosteus platostomus,240.7,10.8,11.7,5
Lepisosteus oculatus,135.1,9.9,9,3
Amia calva,56.6,19.2,16.5,4
Anguilla rostrata,113.3,6.2,3.8,5
Hiodon tergisus,207.7,32.1,11.3,3
Alosa aestivalis,85.6,26.5,10.6,5
Alosa mediocris,213,29.1,10.8,1
Alosa pseudoharengus (Cayuga),104.8,26.7,10.7,5
Alosa pseudoharengus (Hudson),230.5,33.1,12.7,4
Alosa sapidissima,385,33.9,16.4,2
Dorosoma cepedianum,101.4,40,13,5
Ictalurus catus,227.4,23.8,22.7,4
Ictalurus punctatus,119.9,24.7,20.3,5
Ictalurus melas,126.5,28.5,19.3,3
Ictalurus natalis,53.4,26.9,21,5
Ictalurus nebulosus,116.2,27.4,20.6,5
Noturus flavus,62.8,20.6,19.1,5
Noturus gyrinus,49.4,25,21.9,5
Noturus insignis,82.8,19,18.2,5
Noturus miurus,36.1,23.3,20.3,5
Carpiodes cyprinus,144,40,18.4,5
Catostomus catostomus,77.4,20.2,15.9,5
Catostomus commersoni,103.1,22.6,17.8,4
Erimyzon oblongus,135.4,31,18.9,5
Erimyzon sucetta,51.6,29.4,14.4,5
Hyoentelium nigricans,77.5,20.6,18.3,5
Moxostoma anisurum,46.7,27.8,16.4,5
Moxostoma carinatum,365.2,28.1,16.3,5
Moxostoma duquesnei,157.6,22,13.3,5
Moxostoma erythrurum,73.4,25.5,16.3,5
Moxostoma macrolepidotum,305,25.5,15.9,5
Moxostoma valenciennesi,297,28,18,5
Carassius auratus,114.7,38.2,20.1,5
Cyprinus carpio,110.4,38.2,20.4,5
Ctenopharyngodon idella,562,26.7,16.4,5
Scardinius erythrophthalmus,129.5,33.2,13.4,5
Rhodeus sericeus,44.5,34.8,16.6,5
Campostoma anomalum,61.4,20.4,15.4,5
Exoglossum laurae,46.9,21.1,16.1,3
Exoglossum maxillingua,74.7,22.8,18.6,5
Ericymba buccata,48.3,23,15,5
Notemigonus crysoluecas,83.5,28,13,5
Hybopsis amblops,31.2,18.7,12.2,5
Hybopsis dissimilis,67.2,16.9,13.2,5
Hybopsis storeriana,103.8,24.6,13,5
Hybopsis x-punctata,61.7,19.2,14.8,5
Nocomis biguttatus,88,24.4,15.9,5
Nocomis micropogon,63.5,22.6,15.6,5
Rhinichthys atratulus,53.3,22.1,16,5
Rhinichthys meleagris,52.7,23.9,17.3,5
Rhinichthys cataractae,59.3,21.6,17.2,5
Semotilus atromaculatus,67.7,23.1,15.8,5
Semotilus corporalis,102.9,23.7,16.1,5
Semotilus margarita,61.1,23.3,15.9,5
Couesius plumbeus,66.9,21.2,15.4,5
Notropis amoenus,49.3,17.7,10.5,5
Notropis atherinoides,51.4,21.9,13.6,5
Notropis photogenis,59,18.1,11.6,5
Notropis rebellus,42.4,17.2,11,5
Luxilus cornutus,82.6,26.3,13.3,5
Luxilus chrysocephalus,79.5,25.1,14.6,5
Cyprinella analostanus,58.5,26.1,14.8,5
Cyprinella spilopterus,73.6,25.2,13.8,5
Lythrurus umbratillis,42.8,25.3,13.1,5
Notropis anogenus,31.6,22.8,14.6,5
Notropis bifrenatus,32.5,23.3,15.2,5
Notropis chalybaeus,32.1,20.8,12.9,5
Notropis heterodon,36.3,23.9,14.7,3
Notropis heterolepis,41,20.1,12.5,4
Notropis procne,37.4,19,11.6,5
Notropis dorsalis,47.4,19.1,12.5,5
Notropis stramineus,48.2,22.9,15.8,5
Notropis volucellus,41.3,20.7,12.7,5
Notropis hudsonius,79.9,28.5,18,5
Phoxinus neogaeus,32.6,20.7,13.4,5
Phoxinus eos,42.7,22.6,14.9,5
Clinostomus elongatus,58.1,21.5,14.3,5
Pimephales notatus,52.2,21.6,14.2,5
Pimephales promelas,47.5,29.1,19.7,5
Hybognathus hankinsoni,51.4,22.5,14.6,5
Hybognathus regius,50.4,24.1,15,5
Coregonus alpenae,,24.1,14.2,
Coregonus reighardi,,25.6,15,
Coregonus kiyi,,24.1,12.4,
Coregonus hoyi,,20.7,10.4,
Coregonus artedii,158,24.6,11.4,5
Coregonus clupeaformis,267.7,24.1,12.1,5
Prosopium cylindraceum,352,25,12.5,1
Oncorhynchus kisutch,60,25.7,12.3,3
Oncorhynchus nerka,218,28.9,11,1
Oncorhynchus tshawytscha,63.2,26.7,12.1,2
Salmo gairdneri,121.5,26.7,13.9,5
Salmo salar,98.4,23.3,12.4,5
Salmo trutta,80.8,24.5,14.3,5
Salvelinus fontinalis,101.3,24.6,14.6,5
Salvelinus namaycush,140.9,21.8,13,2
Osmerus mordax,150.5,17.6,10.7,5
Umbra limi,65.6,23.8,17.4,5
Umbra pygmaea,57.9,23.2,16.1,5
Esox americanus americanus,124.3,16.7,10.7,5
Esox americanus vermiculatus,152.5,16.6,10.5,2
Esox lucius,164.3,16,9.2,5
Esox niger,117.1,15.7,10.3,7
Esox masquinongy,79.6,12.1,8.3,3
Percopsis omisconmaycus,63.5,23.5,17.3,5
Aphredoderus s. sayanus,48,35.7,20.5,5
