"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"6","Cyprinus carpio","Common carp","Unsexed",37,NA,NA,"India","(hills)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142 target='_blank' >Reference</a>"
"7","Cyprinus carpio","Common carp","Unsexed",15,NA,NA,"India","(plains)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142 target='_blank' >Reference</a>"
"9","Cyprinus carpio","Common carp","Unsexed",40,NA,NA,NA,"Europe","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142 target='_blank' >Reference</a>"
"10","Cyprinus carpio","Common carp","Unsexed",30,NA,NA,"Indonesia","Indonesia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142 target='_blank' >Reference</a>"
"12","Cyprinus carpio","Common carp","Unsexed",30,NA,NA,"Japan","Japan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=142 target='_blank' >Reference</a>"
"20","Cyprinus carpio","Common carp","Female",25,NA,NA,NA,"Not stated","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6390 target='_blank' >Reference</a>"
"21","Cyprinus carpio","Common carp","Male",20,NA,"NG",NA,"Not stated","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6390 target='_blank' >Reference</a>"
"23","Cyprinus carpio","Common carp","Mixed",NA,25.1,"TL","France","Camargue","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52210 target='_blank' >Reference</a>"
"24","Cyprinus carpio","Common carp","Mixed",NA,19.4,"TL","Spain","Guadalquivir River, Southwest region","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52211 target='_blank' >Reference</a>"
"27","Cyprinus carpio","Common carp","Female",NA,32.8,"FL",NA,"Barmah Forest","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89158 target='_blank' >Reference</a>"
"28","Cyprinus carpio","Common carp","Female",NA,27.3,"FL",NA,"Campaspe Channels","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89159 target='_blank' >Reference</a>"
