English Common Name,French Common Name,Scientific Name,Group
Alaska Blackfish,Dallia,Dallia pectoralis,Herring & Sturgeon
Alewife/gaspareau,Gaspareau,Alosa pseudoharengus,Herring & Sturgeon
American Brook Lamprey,Lamproie de l'est,Lethenteron appendix,Eel
American Eel,Anguille d'Am?rique,Anguilla rostrata,Eel
American Shad,Alose savoureuse,Alosa sapidissima,Herring & Sturgeon
Arctic Char,Omble chevalier,Salvelinus alpinus,"Catfish, Salmon, Sunfish & Walleye"
Arctic Cisco,Cisco arctique,Coregonus autumnalis,"Catfish, Salmon, Sunfish & Walleye"
Arctic Grayling,Ombre arctique,Thymallus arcticus,"Catfish, Salmon, Sunfish & Walleye"
Arctic Lamprey,Lamproie arctique,Lethenteron camtschaticum,Eel
Atlantic Salmon,Saumon Atlantique,Salmo salar,"Catfish, Salmon, Sunfish & Walleye"
Atlantic Sturgeon,Esturgeon noir,Acipenser oxyrinchus,Herring & Sturgeon
Atlantic Tomcod,Poulamon,Microgadus tomcod,Eel
Atlantic Whitefish,Cisco,Coregonus huntsmani,"Catfish, Salmon, Sunfish & Walleye"
Banded Killifish,Fondule barr?,Fundulus diaphanus,
Bering Cisco,Cisco de B?ring,Coregonus laurettae,"Catfish, Salmon, Sunfish & Walleye"
Bigmouth Buffalo,Poisson-taureau,Ictiobus cyprinellus,"Catfish, Salmon, Sunfish & Walleye"
Bigmouth Shiner,,Notropis dorsalis,"Catfish, Salmon, Sunfish & Walleye"
Black Bullhead,Poisson-chat,Ameiurus melas,"Catfish, Salmon, Sunfish & Walleye"
Black Crappie,Marigane noire,Pomoxis nigromaculatus,"Catfish, Salmon, Sunfish & Walleye"
Black Redhorse,,Moxostoma duquesnei,"Catfish, Salmon, Sunfish & Walleye"
Blackchin Shiner,Menton noir,Notropis heterodon,"Catfish, Salmon, Sunfish & Walleye"
Blackfin Cisco,,Coregonus nigripinnis,"Catfish, Salmon, Sunfish & Walleye"
Blacknose Dace,Naseux noir,Rhinichthys atratulus,"Catfish, Salmon, Sunfish & Walleye"
Blacknose Shiner,Museau noir,Notropis heterolepis,"Catfish, Salmon, Sunfish & Walleye"
Blackside Darter,,Percina maculata,"Catfish, Salmon, Sunfish & Walleye"
Blackspot Shiner,M?n? ? tache noire,Notropis atrocaudalis,"Catfish, Salmon, Sunfish & Walleye"
Blackspotted Stickleback,?pinoche tachet?e,Gasterosteus wheatlandi,
Blacktail Shiner,M?n? ? queue noire,Cyprinella venusta,"Catfish, Salmon, Sunfish & Walleye"
Bloater,,Coregonus hoyi,"Catfish, Salmon, Sunfish & Walleye"
Blue Catfish,Poisson-chat bleu,Ictalurus furcatus,"Catfish, Salmon, Sunfish & Walleye"
Blueback Herring,Alose d'?t?,Alosa aestivalis,Herring & Sturgeon
Bluegill,Crapet arlequin,Lepomis macrochirus,"Catfish, Salmon, Sunfish & Walleye"
Bluntnose Minnow,,Pimephales notatus,"Catfish, Salmon, Sunfish & Walleye"
Bonytail,Squalius moreoticus,Gila elegans,"Catfish, Salmon, Sunfish & Walleye"
Bowfin,Poisson-castor,Amia calva,Eel
Brassy Minnow,M?m? laiton,Hybognathus hankinsoni,"Catfish, Salmon, Sunfish & Walleye"
Bridgelip Sucker,Meunier de l'ouest,Catostomus columbianus,"Catfish, Salmon, Sunfish & Walleye"
Bridle Shiner,M?n? d'herbe,Notropis bifrenatus,"Catfish, Salmon, Sunfish & Walleye"
Brindled Madtom,,Noturus miurus,"Catfish, Salmon, Sunfish & Walleye"
Broad Whitefish,Cor?gone tschir,Coregonus nasus,"Catfish, Salmon, Sunfish & Walleye"
Brook Silverside,Crayon d'argent,Labidesthes sicculus,
Brook Stickleback,?pinoche ? cinq ?pines,Culaea inconstans,
Brook Trout,Saumon de fontaine,Salvelinus fontinalis,"Catfish, Salmon, Sunfish & Walleye"
Brown Bullhead,Barbotte brune,Ameiurus nebulosus,"Catfish, Salmon, Sunfish & Walleye"
Brown Trout,Truite commune,Salmo trutta,"Catfish, Salmon, Sunfish & Walleye"
Bull Trout,Omble ? t?te plate,Salvelinus confluentus,"Catfish, Salmon, Sunfish & Walleye"
Bullhead Minnow,Pimephales vigilax,Pimephales vigilax,"Catfish, Salmon, Sunfish & Walleye"
Burbot,Lotte,Lota lota,Eel
Carp,Carpe,Cyprinus carpio,"Catfish, Salmon, Sunfish & Walleye"
Central Mudminnow,Umbre de vase,Umbra limi,Herring & Sturgeon
Central Stoneroller,Roule-caillou,Campostoma anomalum,"Catfish, Salmon, Sunfish & Walleye"
Chain Pickerel,Brochet maill?,Esox niger,Pike
Channel Catfish,Barbue de rivi?re,Ictalurus punctatus,"Catfish, Salmon, Sunfish & Walleye"
Channel Darter,Fouille-roche gris,Percina copelandi,"Catfish, Salmon, Sunfish & Walleye"
Channel?נBlue catfish hybrid,Poisson-chat tachet? ? poisson-chat bleu hybride,Ictalurus punctatus?נfurcatus,"Catfish, Salmon, Sunfish & Walleye"
Chestnut Lamprey,Lamproie brune,Ichthyomyzon castaneus,Eel
Chinook Salmon,Saumon chinook,Oncorhynchus tshawytscha,"Catfish, Salmon, Sunfish & Walleye"
Chiselmouth,,Acrocheilus alutaceus,"Catfish, Salmon, Sunfish & Walleye"
Chum Salmon,Saumon keta,Oncorhynchus keta,"Catfish, Salmon, Sunfish & Walleye"
Cisco,Cisco de lac,Coregonus artedi,"Catfish, Salmon, Sunfish & Walleye"
Coastrange Sculpin,Chabot c?tier,Cottus aleuticus,
Coho Salmon,Saumon coho,Oncorhynchus kisutch,"Catfish, Salmon, Sunfish & Walleye"
Colorado Pikeminnow,Poisson squaw du Colorado,Ptychocheilus lucius,"Catfish, Salmon, Sunfish & Walleye"
Common Barbel,Barbeau fluviatile,Barbus barbus,"Catfish, Salmon, Sunfish & Walleye"
Common Bream,Br?me,Abramis brama,"Catfish, Salmon, Sunfish & Walleye"
Common Dace,Vandoise,Leuciscus leuciscus,"Catfish, Salmon, Sunfish & Walleye"
Common Shiner,M?n? ? nageoires rouges,Luxilus cornutus,"Catfish, Salmon, Sunfish & Walleye"
Copper Redhorse,,Moxostoma hubbsi,"Catfish, Salmon, Sunfish & Walleye"
Creek Chub,Mulet ? cornes,Semotilus atromaculatus,"Catfish, Salmon, Sunfish & Walleye"
Crucian Carp,Carassin,Carassius carassius,"Catfish, Salmon, Sunfish & Walleye"
Cutlips Minnow,Bec-de-li?vre,Exoglossum maxillingua,"Catfish, Salmon, Sunfish & Walleye"
Cutthroat Trout,Truite fard?e,Oncorhynchus clarkii,"Catfish, Salmon, Sunfish & Walleye"
Deepwater Cisco,,Coregonus johannae,"Catfish, Salmon, Sunfish & Walleye"
Deepwater Sculpin,Chabot de profondeur,Myoxocephalus thompsonii,
Dolly Varden,Dolly varden,Salvelinus malma,"Catfish, Salmon, Sunfish & Walleye"
Eastern Sand Darter,Dard de sable,Ammocrypta pellucida,"Catfish, Salmon, Sunfish & Walleye"
Emerald Shiner,M?n? ?meraude,Notropis atherinoides,"Catfish, Salmon, Sunfish & Walleye"
Eulachon,Eulakane,Thaleichthys pacificus,Herring & Sturgeon
European Chub,Chevaine,Leuciscus cephalus,"Catfish, Salmon, Sunfish & Walleye"
European Eel,Anguille,Anguilla anguilla,Eel
European Grayling,Ombre commun,Thymallus thymallus,"Catfish, Salmon, Sunfish & Walleye"
European Perch,Perche fluviatile,Perca fluviatilis,"Catfish, Salmon, Sunfish & Walleye"
Fallfish,Ouitouche,Semotilus corporalis,"Catfish, Salmon, Sunfish & Walleye"
Fantail Darter,Dard barr?,Etheostoma flabellare,"Catfish, Salmon, Sunfish & Walleye"
Fathead Minnow,T?te de boule,Pimephales promelas,"Catfish, Salmon, Sunfish & Walleye"
Finescale Dace,Ventre citron,Chrosomus neogaeus,"Catfish, Salmon, Sunfish & Walleye"
Flannelmouth Sucker,Meunier ? grosses nageoires,Catostomus latipinnis,"Catfish, Salmon, Sunfish & Walleye"
Flathead Chub,M?n? ? t?te plate,Platygobio gracilis,"Catfish, Salmon, Sunfish & Walleye"
Fourspine Stickleback,?pinoche ? quatre ?pines,Apeltes quadracus,
Freshwater Drum,Malachigan,Aplodinotus?grunniens,
Ghost Shiner,M?n? fant?me,Notropis buchanani,"Catfish, Salmon, Sunfish & Walleye"
Gizzard Shad,Alose ? g?sier,Dorosoma cepedianum,Herring & Sturgeon
Golden Redhorse,,Moxostoma erythrurum,"Catfish, Salmon, Sunfish & Walleye"
Golden Shiner,M?n? jaune,Notemigonus crysoleucas,"Catfish, Salmon, Sunfish & Walleye"
Goldeye,Laquaiche aux yeux d'or,Hiodon alosoides,Herring & Sturgeon
Grass Pickerel,,Esox americanus vermiculatus,Pike
Gravel Chub,Gravelier,Erimystax?x-punctatus,"Catfish, Salmon, Sunfish & Walleye"
Greater Redhorse,Chevalier jaune,Moxostoma valenciennesi,"Catfish, Salmon, Sunfish & Walleye"
Green Sturgeon,Esturgeon vert,Acipenser medirostris,Herring & Sturgeon
Green Sunfish,,Lepomis cyanellus,"Catfish, Salmon, Sunfish & Walleye"
Greenside Darter,,Etheostoma blennioides,"Catfish, Salmon, Sunfish & Walleye"
Gudgeon,Gofi,Gobio gobio,"Catfish, Salmon, Sunfish & Walleye"
Hornyhead Chub,,Nocomis biguttatus,"Catfish, Salmon, Sunfish & Walleye"
Humpback Chub,M?n? ? bosses,Gila cypha,"Catfish, Salmon, Sunfish & Walleye"
Inconnu,Inconnu,Stenodus leucichthys,"Catfish, Salmon, Sunfish & Walleye"
Iowa Darter,Dard ? ventre jaune,Etheostoma exile,"Catfish, Salmon, Sunfish & Walleye"
Johnny Darter,Raseux-de-terre noir,Etheostoma nigrum,"Catfish, Salmon, Sunfish & Walleye"
June Sucker,Catostome noir nain,Chasmistes liorus,"Catfish, Salmon, Sunfish & Walleye"
