"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"6","Cyprinus carpio","Common carp","Unsexed",370,NA,NA,"India","(hills)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"7","Cyprinus carpio","Common carp","Unsexed",150,NA,NA,"India","(plains)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"9","Cyprinus carpio","Common carp","Unsexed",400,NA,NA,NA,"Europe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"10","Cyprinus carpio","Common carp","Unsexed",300,NA,NA,"Indonesia","Indonesia","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"12","Cyprinus carpio","Common carp","Unsexed",300,NA,NA,"Japan","Japan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"20","Cyprinus carpio","Common carp","Female",250,NA,NA,NA,"Not stated","<a href=http://fishbase.ca/references/FBRefSummary.php?id=6390 target='_blank' >Kailola et al. 1993</a>"
"21","Cyprinus carpio","Common carp","Male",200,NA,"NG",NA,"Not stated","<a href=http://fishbase.ca/references/FBRefSummary.php?id=6390 target='_blank' >Kailola et al. 1993</a>"
"23","Cyprinus carpio","Common carp","Mixed",NA,251,"TL","France","Camargue","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52210 target='_blank' >Crivelli 1981</a>"
"24","Cyprinus carpio","Common carp","Mixed",NA,194,"TL","Spain","Guadalquivir River, Southwest region","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52211 target='_blank' >Fernández-... 1990</a>"
"27","Cyprinus carpio","Common carp","Female",NA,328,"FL",NA,"Barmah Forest","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89158 target='_blank' >Brown et al. 2005</a>"
"28","Cyprinus carpio","Common carp","Female",NA,273,"FL",NA,"Campaspe Channels","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89159 target='_blank' >Brown et al. 2004</a>"
