ScientificName,CommonName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Lampetra ayresii,river lamprey,,,162,,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Lethenteron camtschaticum,Arctic lamprey,,,180,,United States,Alaska,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Lampetra richardsoni,western brook lamprey,,,165,,Canada,British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Entosphenus tridentatus,Pacific lamprey,,,537,,Canada,"Thompson and Nicola Rivers, British Columbia",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Lethenteron alaskense,darktail lamprey,,150,180,,United States,Alaska,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Petromyzon marinus,sea lamprey,,,140,,United States,New York,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Acipenser brevirostrum,shortnose sturgeon,Female,,550,FL,Canada,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Acipenser fulvescens,lake sturgeon,,,950,TL,,,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Acipenser transmontanus,white sturgeon,Female,,1400,,Canada,"Fraser River, British Columbia",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Hiodon alosoides,goldeye,,,320,FL,,North America,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Hiodon tergisus,mooneye,,,320,TL,,North America,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Anguilla rostrata,American eel,Male,,290,TL,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Anguilla rostrata,American eel,Female,,460,TL,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Alosa aestivalis,blueback herring,,,195,,Canada,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Alosa pseudoharengus,alewife,,,138,SL,,,Minns et al. 1993,http://science-catalogue.canada.ca/record=b3889726~S6
Alosa sapidissima,American shad,,,470,,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Dorosoma cepedianum,gizzard shad,,,279,SL,,,Minns et al. 1993,http://science-catalogue.canada.ca/record=b3889726~S6
