"","English.Common.Name","French.Common.Name","Scientific.Name","Group.s.","Screen.Area.Coefficient"
"1","All/Unknown","All/Unknown","All/Unknown","Eel",0.025
"2","Alaska Blackfish","Dallia","Dallia pectoralis","Herring; Sturgeon",0.0125
"3","Alewife/Gaspereau","Gaspareau","Alosa pseudoharengus","Herring; Sturgeon",0.0125
"4","American Brook Lamprey","Lamproie de l'est","Lethenteron appendix","Eel",0.025
"5","American Eel","Anguille d'Am?rique","Anguilla rostrata","Eel",0.025
"6","American Shad","Alose savoureuse","Alosa sapidissima","Herring; Sturgeon",0.0125
"7","Arctic Char","Omble chevalier","Salvelinus alpinus","Catfish & Sunfish; Salmon & Walleye",0.01
"8","Arctic Cisco","Cisco arctique","Coregonus autumnalis","Catfish & Sunfish; Salmon & Walleye",0.01
"9","Arctic Grayling","Ombre arctique","Thymallus arcticus","Catfish & Sunfish; Salmon & Walleye",0.01
"10","Arctic Lamprey","Lamproie arctique","Lethenteron camtschaticum","Eel",0.025
"11","Atlantic Salmon","Saumon Atlantique","Salmo salar","Catfish & Sunfish; Salmon & Walleye",0.01
"12","Atlantic Sturgeon","Esturgeon noir","Acipenser oxyrinchus","Herring; Sturgeon",0.0125
"13","Atlantic Tomcod","Poulamon","Microgadus tomcod","Eel",0.025
"14","Atlantic Whitefish","Cisco","Coregonus huntsmani","Catfish & Sunfish; Salmon & Walleye",0.01
"15","Banded Killifish","Fondule barr?","Fundulus diaphanus","Eel",0.025
"16","Bering Cisco","Cisco de B?ring","Coregonus laurettae","Catfish & Sunfish; Salmon & Walleye",0.01
"17","Bigmouth Buffalo","Poisson-taureau","Ictiobus cyprinellus","Catfish & Sunfish; Salmon & Walleye",0.01
"18","Bigmouth Shiner","","Notropis dorsalis","Catfish & Sunfish; Salmon & Walleye",0.01
"19","Black Bullhead","Poisson-chat","Ameiurus melas","Catfish & Sunfish; Salmon & Walleye",0.01
"20","Black Crappie","Marigane noire","Pomoxis nigromaculatus","Catfish & Sunfish; Salmon & Walleye",0.01
"21","Black Redhorse","","Moxostoma duquesnei","Catfish & Sunfish; Salmon & Walleye",0.01
"22","Blackchin Shiner","Menton noir","Notropis heterodon","Catfish & Sunfish; Salmon & Walleye",0.01
"23","Blackfin Cisco","","Coregonus nigripinnis","Catfish & Sunfish; Salmon & Walleye",0.01
"24","Blacknose Dace","Naseux noir","Rhinichthys atratulus","Catfish & Sunfish; Salmon & Walleye",0.01
"25","Blacknose Shiner","Museau noir","Notropis heterolepis","Catfish & Sunfish; Salmon & Walleye",0.01
