Country English,C_Code
Adelaide Island,I13
Adelie Land,10AL
Admiralty Islands,598A
Afghanistan,4
?land Islands,248
Alaska (USA),840A
Albania,8
Algeria,12
American Samoa,16
"Amsterdam Island, New Amsterdam",260A
Andaman Islands,I16
Andorra,20
Angola,24
Anguilla,660
Antarctic 010,I555
Antigua and Barbuda,28
Argentina,32
Armenia,51
Aruba,533
Ascension Island,826E
Australia,36
Austria,40
Azerbaijan,31
Azores Islands,620B
Bahamas,44
Bahrain,48
Balleny Islands,I09
Bangladesh,50
Barbados,52
Bassas da India Shoal,260B
Belarus,112
Belgium,56
Belize,84
Benin,204
Bermuda,60
Bhutan,64
Bolivia,68
"Bonaire, Sint Eustatius and Saba",535
Bosnia and Herzegovina,70
Botswana,72
Bouvet Island,74
Brazil,76
British Antarctic Territory,826H
British Indian Ocean Territory,86
Brunei Darussalam,96
Bulgaria,100
Burkina Faso,854
Burundi,108
Cambodia,116
Cameroon,120
Canada,124
Canary Islands,724A
Cape Verde,132
Cargados Carajos Shoals,826I
Caroline Island,582A
Cayman Islands,136
Central African Republic,140
Chad,148
Chagos Islands,826F
Channel Islands,830
Chatham Islands,554C
Chile,152
China,156
Christmas Island (AUS),162
Clipperton Island,I250
Cocos (Keeling) Islands,166
Cocos Island (Costa Rica),I188
Colombia,170
Comoros,174
Congo (Democratic Republic of the),180
Congo (Republic of the),178
Cook Islands,184
Costa Rica,188
C?te d'Ivoire,384
Croatia,191
Crozet Islands,260C
Cuba,192
Cura?ao Island,531
Cyprus,196
Czech Republic,203
Denmark,208
Desventuradas Islands,152D
Djibouti,262
Dominica,212
Dominican Republic,214
Easter Island,152A
Ecuador,218
Egypt,818
El Salvador,222
Elephant Island,I15
England and Wales (UK),826A
Equatorial Guinea,226
Eritrea 232,F111
Estonia,233
Ethiopia,230
Europa Island,260E
Faeroe Islands,234
Falkland Islands (Malvinas),238
Fiji (Republic of),242
Finland,246
France,250
French Guiana,254
French Polynesia,258
French Southern Territories,260
Gabon,266
Galapagos Islands,218A
Gambia,270
Georgia,268
Germany (Federal Republic of),276
Ghana,288
Gibraltar,292
Global,9999
Glorieuses Islands,260G
Greece,300
Greenland,304
Grenada,308
Guadeloupe,312
Guam,316
Guatemala,320
Guinea,324
Guinea-Bissau,624
Guyana,328
Haiti,332
Hawaii (USA),840B
Heard Island and McDonald Islands,334
Holy See (Vatican City State),336
Honduras,340
Hong Kong,344
Hungary,348
Iceland,352
India,356
Indonesia,360
Iran (Islamic Republic of),364
Iraq,368
Ireland,372
Isle of Man,833
Israel,376
Italy,380
Jamaica,388
Jan Mayen Island,744J
Japan,392
Jersey,832
Johnston Island,396
Jordan,400
Juan de Nova Island,260J
Juan Fern?ndez Islands,152B
Kazakhstan,398
Kenya,404
Kerguelen Islands,260K
Kermadec Islands,554A
Kiribati,296
Korea (Democratic People's Rep),408
Korea (Republic of),410
Kuril Islands,810B
Kuwait,414
Kyrgyzstan,417
Lao (People's Democratic Republic),418
Latvia,428
Lebanon,422
Lesotho,426
Liberia,430
Libya,434
Liechtenstein,438
Lithuania,440
Lord Howe Island,I557
Luxembourg,442
Macau,446
Macedonia (former Yugoslav Republic of),807
"Macquarie Island, Macca",I11
Madagascar,450
Madeira Islands,620A
Malawi,454
Malaysia,458
Maldives,462
Mali,466
Malta,470
Marquesas Islands,250D
Marshall Islands,584
Martinique,474
Mauritania,478
Mauritius,480
Mayotte,175
Mexico,484
Micronesia (Federal States of),583
Midway Islands,488
Moldova (Republic of),498
Monaco,492
Mongolia,496
Montenegro,499
Montserrat,500
Morocco,504
Mozambique,508
Myanmar,104
Namibia,516
Nauru,520
Nepal,524
Netherlands,528
Netherlands Antilles,532
New Caledonia,540
New Zealand,554
Nicaragua,558
Niger,562
Nigeria,566
Niue,570
Norfolk Island,574
Northern Ireland (UK),826C
Northern Marianas Islands,580
Norway,578
"Ogasawara Islands, Bonin Islands",I556
Oman,512
Pacific Islands (Trust Territory),582
Pakistan,586
Palau,585
Palestine (State of),275
Panama,591
Papua New Guinea,598
Paraguay,600
Peru,604
Peter I Island,I14
Philippines,608
Pitcairn,612
Poland,616
Portugal,620
Prince Edward Islands,I04
Puerto Rico,630
Qatar,634
Republic of South Sudan,728
R?union,638
Revillagigedo,I484
Rodriguez,I17
Romania,642
Russian Federation,643
Rwanda,646
Ryukyu Islands,392B
Saint Barth?lemy,652
"Saint Helena, Ascension and Tristan da Cunha",654
Saint Kitts and Nevis,659
Saint Lucia,662
Saint Martin (French part),663
Saint Paul Island,260P
Saint Paul's Rocks,I076
Saint Pierre and Miquelon,666
Saint Vincent and the Grenadines,670
Samoa,882
San Marino,674
Sao Tome and Principe,678
Saudi Arabia,682
Scotland (UK),826B
Scott Island,I10
Senegal,686
Serbia 688,891
Seychelles,690
Sierra Leone,694
Singapore,702
Sint Maarten (Dutch part),534
Slovakia,703
Slovenia,705
Solomon Islands,90
Somalia,706
South Africa,710
South Georgia Island and South Sandwich Islands,239
South Orkney Islands,I02
South Shetland Islands,I12
Spain,724
Sri Lanka,144
Sudan 729,736
Suriname,740
Svalbard and Jan Mayen,744
Swaziland,748
Sweden,752
Switzerland,756
Syrian Arab Republic,760
Tahiti,250A
Taiwan,156A
Tajikistan,762
Tanzania (United Republic of),834
Thailand,764
Timor-Leste,626
Togo,768
Tokelau,772
Tonga,776
Trindade and Martim Vaz Archipelago,I558
Trinidad and Tobago,780
Tristan da Cunha Islands,826G
Tromelin Island,260T
Tuamotu Islands,250C
Tunisia,788
Turkey,792
Turkmenistan,795
Turks and Caicos Islands,796
Tuvalu,798
Uganda,800
Ukraine,804
United Arab Emirates,784
United Kingdom,826
United States,840
Uruguay,858
US Minor Outlying Islands,581
US Miscellaneous Pacific Islands,849
Uzbekistan,860
Vanuatu,548
Venezuela,862
Viet Nam,704
Virgin Islands (British),92
Virgin Islands (US ),850
Wake Island,872
Wallis and Futuna Islands,876
Western Sahara,732
Yemen,887
Zambia,894
Zimbabwe,716
