"","ScientificName","CommonName","FrenchName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"1","Alosa pseudoharengus","Alewife/Gaspereau","Gaspareau","Male",96,NA,"SL","Canada","Lake Ontario","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38946 target='_blank' >Graham 1956</a>"
"2","Alosa pseudoharengus","Alewife/Gaspereau","Gaspareau","Female",110,NA,"SL","Canada","Lake Ontario","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38946 target='_blank' >Graham 1956</a>"
"3","Alosa pseudoharengus","Alewife/Gaspereau","Gaspareau","Mixed",NA,158,"TL","United States","Lake Michigan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38634 target='_blank' >Norden 1967</a>"
"4","Alosa pseudoharengus","Alewife/Gaspereau","Gaspareau","Mixed",NA,131,"TL","United States","Lake Ontario, 1978-92","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52208 target='_blank' >Hanel 1992</a>"
"5","Lethenteron appendix","American Brook Lamprey","Lamproie de l'est","Unsexed",NA,150,"TL","Canada","To be Filled","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>"
"6","Lethenteron appendix","American Brook Lamprey","Lamproie de l'est","Unsexed",NA,150,"TL","Canada","To be Filled","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>"
"7","Lethenteron appendix","American Brook Lamprey","Lamproie de l'est","Unsexed",NA,150,"TL","Canada","To be Filled","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>"
"8","Lethenteron appendix","American Brook Lamprey","Lamproie de l'est","Unsexed",NA,150,"TL","Canada","To be Filled","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>"
"9","Anguilla rostrata","American Eel","Anguille d'Amérique","Unsexed",353,NA,"TL","United States","Altamaha River, Georgia, 1980-81","<a href=http://fishbase.ca/references/FBRefSummary.php?id=7130 target='_blank' >Helfman et al. 1984</a>"
"10","Anguilla rostrata","American Eel","Anguille d'Amérique","Male",220,NA,"TL","United States","Chesapeake Bay.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>"
"11","Anguilla rostrata","American Eel","Anguille d'Amérique","Female",370,NA,"TL","United States","Chesapeake Bay.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>"
"12","Anguilla rostrata","American Eel","Anguille d'Amérique","Male",280,NA,"TL",NA,"North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120732 target='_blank' >Fahay 1978</a>"
"13","Anguilla rostrata","American Eel","Anguille d'Amérique","Female",460,NA,"TL",NA,"North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120732 target='_blank' >Fahay 1978</a>"
"14","Alosa sapidissima","American Shad","Alose savoureuse","Male",305,NA,"FL","United States","St. John's River, Florida","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38973 target='_blank' >Walburg 1960</a>"
"15","Alosa sapidissima","American Shad","Alose savoureuse","Female",383,NA,"FL","United States","St John's River, Florida","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38973 target='_blank' >Walburg 1960</a>"
"16","Salvelinus alpinus","Arctic Char","Omble chevalier","Unsexed",NA,381,NA,"Canada","Frasier River, Northern Labrador","<a href=http://fishbase.ca/references/FBRefSummary.php?id=40568 target='_blank' >Dempson et al. 1985</a>"
"17","Salvelinus alpinus","Arctic Char","Omble chevalier","Unsexed",NA,350,"FL","Canada","Cumberland Sound, Baffin Island","<a href=http://fishbase.ca/references/FBRefSummary.php?id=28967 target='_blank' >Moore 1975</a>"
"18","Salvelinus alpinus","Arctic Char","Omble chevalier","Female",NA,600,NA,"Canada","Baffin Island","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"19","Coregonus autumnalis","Arctic Cisco","Cisco arctique","Mixed",280,NA,"FL","Russian Federation","Enisey River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>"
"20","Thymallus arcticus","Arctic Grayling","Ombre arctique","Mixed",230,NA,"FL","Russian Federation","Enisey River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>"
"21","Lethenteron camtschaticum","Arctic Lamprey","Lamproie arctique","Female",130,NA,"TL",NA,"North America and Asia.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=12321 target='_blank' >Holcík 1986</a>"
"22","Lethenteron camtschaticum","Arctic Lamprey","Lamproie arctique","Male",135,NA,"TL",NA,"North America and Asia.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=12321 target='_blank' >Holcík 1986</a>"
"23","Lethenteron camtschaticum","Arctic Lamprey","Lamproie arctique","Unsexed",130,NA,"TL","Mongolia","Barh and Hurh Rivers","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>"
