ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Dallia pectoralis,Alaska Blackfish,Dallia,,,50,,United States,Alaska,"McPhail and Lindsey, 1970",http://fishbase.us/references/FBRefSummary.php?id=10280
Alosa pseudoharengus,Alewife,Gaspareau,,,138,SL,,,Minns et al. 1993,http://science-catalogue.canada.ca/record=b3889726~S6
Anguilla rostrata,American Eel,Anguille d'Amérique,Male,,290,TL,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Anguilla rostrata,American Eel,Anguille d'Amérique,Female,,460,TL,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Alosa sapidissima,American Shad,Alose savoureuse,,,470,,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Salvelinus alpinus alpinus,Arctic Char,Omble chevalier,,,363,FL,Canada,"Frobisher Bay, Nunavut","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Thymallus arcticus,Arctic Grayling,Ombre arctique,,,326,FL,Canada,"Prairie Creek, Alberta","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Lethenteron camtschaticum,Arctic Lamprey,Lamproie arctique,,,180,,United States,Alaska,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Salmo salar,Atlantic Salmon,Saumon Atlantique,,,800,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Fundulus diaphanus,Banded Killifish,Fondule barré,,,53,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Coregonus laurettae,Bering Cisco,Cisco de Béring,,,345,FL,United States,Alaska,"Alt, 1973",http://fishbase.us/references/FBRefSummary.php?id=28864
Ictiobus cyprinellus,Bigmouth Buffalo,Poisson-taureau,,,400,,Canada,Ontario,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Notropis dorsalis,Bigmouth Shiner,Méné à grande bouche,,,48,TL,United States,"Des Moines River, Iowa",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Ictiobus niger,Black Buffalo,,,225,308,,United States,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Ameiurus melas,Black Bullhead,Poisson-chat,,,220,TL,United States,North Dakota,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Pomoxis nigromaculatus,Black Crappie,Marigane noire,,,192,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Moxostoma duquesnii,Black Redhorse,,,,230,,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Notropis heterodon,Blackchin Shiner,Menton noir,,,37,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Coregonus nigripinnis,Blackfin Cisco,,,,183,SL,Canada,Lake Winnipeg,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Rhinichthys atratulus,Blacknose Dace,Naseux noir,,,49,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Notropis heterolepis,Blacknose Shiner,Museau noir,,,24,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Percina maculata,Blackside Darter,,,,70,TL,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Fundulus notatus,Blackstripe Topminnow,,,36,38,TL,United States,"Fox River, Wisconsin","Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Fundulus notatus,Blackstripe Topminnow,,Mixed,41,48,TL,United States,"Rock River, Wisconsin","Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Coregonus hoyi,Bloater,,,,208,FL,Canada,Lake Ontario,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Alosa aestivalis,Blueback Herring,Alose d'été,,,195,,Canada,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Lepomis macrochirus,Bluegill,Crapet arlequin,,,93,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Pimephales notatus,Bluntnose Minnow,,,,50,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Catostomus columbianus,Bridgelip Sucker,Meunier de l'ouest,,,378,FL,Canada,British Columbia,"Dauble, 1980",http://dx.doi.org/10.1577/1548-8659(1980)109%3C92:LHOTBS%3E2.0.CO;2
Noturus miurus,Brindled Madtom,,,51,61,,United States,Ohio,"Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Labidesthes sicculus,Brook Silverside,Crayon d'argent,,,74,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Culaea inconstans,Brook Stickleback,Épinoche à cinq épines,,,50,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Salvelinus fontinalis,Brook Trout,Saumon de fontaine,,,156,SL,Canada,Ontario lake,Portt et al. 1988,http://fishbase.us/references/FBRefSummary.php?id=10280
Ameiurus nebulosus,Brown Bullhead,Barbotte brune,,,161,SL,Canada,Ontario lake,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Salmo trutta,Brown Trout,Truite commune,,,258,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Salvelinus confluentus,Bull Trout,Omble à tête plate,,,385,,Canada,British Columbia,Ford et al. 1995,http://publications.gc.ca/pub?id=9.562530&sl=0
Lota lota,Burbot,Lotte,,,370,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Umbra limi,Central Mudminnow,Umbre de vase,,,110,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Campostoma anomalum,Central Stoneroller,Roule-caillou,Female,70,,,Canada,"Thames River, Ontario",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Campostoma anomalum,Central Stoneroller,Roule-caillou,Male,75,,,Canada,"Thames River, Ontario",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Esox niger,Chain Pickerel,Brochet maillé,,,440,TL,Canada,New Brunswick,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Ictalurus punctatus,Channel Catfish,Barbue de rivière,,,337,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Percina copelandi,Channel Darter,Fouille-roche gris,Female,,35,SL,,,"Jenkins and Burkhead, 1993",http://fishbase.us/references/FBRefSummary.php?id=54724
Oncorhynchus tshawytscha,Chinook Salmon,Saumon chinook,,,750,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Oncorhynchus keta,Chum Salmon,Saumon keta,,,681,FL,Canada,"Fraser River, British Columbia","Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Coregonus artedi,Cisco,Cisco de lac,,,246,SL,,,Portt et al. 1988,http://fishbase.us/references/FBRefSummary.php?id=10280
Cottus aleuticus,Coastrange Sculpin,Chabot côtier,,,71,TL,United States,Oregon,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Oncorhynchus kisutch,Coho Salmon,Saumon coho,,,635,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Cyprinus carpio,Common Carp,Carpe,,,353,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Moxostoma hubbsi,Copper Redhorse,,Mixed,,652,,Canada,Quebec,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Semotilus atromaculatus,Creek Chub,Mulet à cornes,,,87,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
